City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,santo antonio do ica,-3.1022,-67.9397,25.11,62,32,1.32,BR,1724983762
1,waitangi,-43.9535,-176.5597,13.79,91,55,2.24,NZ,1724983605
2,udachny,66.4167,112.4,12.31,49,1,2.87,RU,1724983609
3,port-aux-francais,-49.35,70.2167,3.27,70,99,11.76,TF,1724983649
4,nouadhibou,20.931,-17.0347,22.99,73,20,8.75,MR,1724983767
5,adamstown,-25.066,-130.1015,18.95,68,61,6.28,PN,1724983769
6,byford,-32.2167,116.0,15.93,65,40,8.75,AU,1724983770
7,andergrove,-21.0833,149.1833,22.7,74,7,4.11,AU,1724983725
8,hawaiian paradise park,19.5933,-154.9731,28.74,80,20,6.17,US,1724983772
9,nar'yan-mar,67.6713,53.087,6.98,66,100,5.6,RU,1724983607
10,minas de marcona,-15.2119,-75.1103,9.36,89,95,6.35,PE,1724983774
11,ushuaia,-54.8,-68.3,3.81,87,0,1.54,AR,1724983495
12,hpa-an,16.8906,97.6333,26.7,85,60,2.92,MM,1724983776
13,margaret river,-33.95,115.0667,13.87,64,17,9.16,AU,1724983778
14,guiyang,26.5833,106.7167,25.19,75,20,2.88,CN,1724983779
15,west island,-12.1568,96.8225,26.99,74,100,8.23,CC,1724983780
16,blackmans bay,-43.0167,147.3167,12.07,72,7,1.34,AU,1724983781
17,kavaratti,10.5669,72.642,27.13,84,100,5.75,IN,1724983782
18,ad darb,17.7229,42.2526,30.38,73,62,1.1,SA,1724983783
19,north bend,43.4065,-124.2243,19.53,72,0,5.14,US,1724983643
20,sitka,57.0531,-135.33,12.94,88,100,2.57,US,1724983544
21,grytviken,-54.2811,-36.5092,0.19,93,100,1.51,GS,1724983637
22,edinburgh of the seven seas,-37.0676,-12.3116,11.42,72,20,14.52,SH,1724983624
23,codrington,-38.2667,141.9667,14.56,55,7,10.83,AU,1724983667
24,bethel,41.3712,-73.414,20.08,83,100,2.37,US,1724983777
25,talnakh,69.4865,88.3972,11.48,94,100,2.4,RU,1724983777
26,bertoua,4.5833,13.6833,19.71,99,100,1.61,CM,1724983794
27,le vauclin,14.5452,-60.8388,27.03,89,75,1.54,MQ,1724983795
28,port elizabeth,-33.918,25.5701,7.95,89,0,1.34,ZA,1724983731
29,nuuk,64.1835,-51.7216,3.34,93,100,2.57,GL,1724983797
30,klyuchi,52.2667,79.1667,15.82,78,100,3.57,RU,1724983541
31,ribeira grande,38.5167,-28.7,21.54,85,100,2.24,PT,1724983736
32,nova vicosa,-17.8919,-39.3719,23.05,61,93,3.98,BR,1724983800
33,tiksi,71.6872,128.8694,4.32,75,7,2.88,RU,1724983801
34,nova sintra,14.8667,-24.7167,26.5,84,100,5.74,CV,1724983802
35,arraial do cabo,-22.9661,-42.0278,21.15,79,0,9.93,BR,1724983666
36,jamestown,42.097,-79.2353,20.57,90,100,2.57,US,1724983620
37,fale old settlement,-9.3852,-171.2468,27.21,77,96,6.64,TK,1724983806
38,whitehorse,60.7161,-135.0538,12.95,59,99,7.6,CA,1724983725
39,haiku-pauwela,20.9219,-156.3051,28.61,83,40,9.77,US,1724983798
40,akjoujt,19.6969,-14.4164,34.91,40,100,5.89,MR,1724983809
41,hamilton,39.1834,-84.5333,27.76,76,0,1.8,US,1724983337
42,hadibu,12.65,54.0333,26.5,82,59,8.86,YE,1724983812
43,holdrege,40.4403,-99.3698,19.95,100,0,0.0,US,1724983813
44,rosarito,32.3333,-117.0333,20.51,77,0,3.65,MX,1724983802
45,iqaluit,63.7506,-68.5145,6.85,93,100,4.63,CA,1724983815
46,badger,64.8,-147.5333,15.95,70,75,5.14,US,1724983816
47,yellowknife,62.456,-114.3525,15.31,88,75,1.54,CA,1724983539
48,gargalianoi,37.0667,21.6333,23.23,83,0,3.11,GR,1724983818
49,newnan,33.3807,-84.7997,26.1,77,0,0.0,US,1724983785
50,lorengau,-2.0226,147.2712,26.97,85,100,2.98,PG,1724983670
51,klaksvik,62.2266,-6.589,10.48,91,30,5.83,FO,1724983822
52,hermanus,-34.4187,19.2345,7.19,84,9,5.06,ZA,1724983823
53,callao,-12.0667,-77.15,16.51,77,100,6.17,PE,1724983792
54,puerto ayora,-0.7393,-90.3518,19.19,98,93,1.34,EC,1724983825
55,kingston,17.997,-76.7936,30.53,79,20,3.09,JM,1724983592
56,olonkinbyen,70.9221,-8.7187,6.54,76,89,4.74,SJ,1724983829
57,tromso,69.6496,18.957,10.01,93,0,0.0,NO,1724983615
58,port macquarie,-31.4333,152.9167,27.26,35,0,1.34,AU,1724983831
59,yanam,16.7333,82.2167,22.88,98,100,2.58,IN,1724983592
60,suntar,62.1444,117.6319,12.93,70,95,1.48,RU,1724983833
61,chinde,26.8212,87.7095,28.16,71,9,0.71,NP,1724983567
62,zykovo,55.9519,93.1461,15.23,72,87,1.42,RU,1724983836
63,puerto deseado,-47.7503,-65.8938,7.05,61,100,5.66,AR,1724983837
64,atherton,53.5237,-2.4935,12.94,92,9,1.39,GB,1724983838
65,aasiaat,68.7098,-52.8699,0.93,93,100,4.15,GL,1724983839
66,guane,22.2025,-84.0875,26.12,88,80,1.33,CU,1724983840
67,enewetak,11.3474,162.3373,28.89,75,77,4.81,MH,1724983841
68,strezhevoy,60.7333,77.5889,10.75,93,100,6.2,RU,1724983843
69,nantucket,41.2835,-70.0995,17.3,88,0,2.57,US,1724983844
70,envira,-7.3,-70.2167,27.01,40,50,1.06,BR,1724983845
71,bilibino,68.0546,166.4372,7.02,48,19,1.32,RU,1724983846
72,ochakiv,46.6128,31.5498,23.18,59,98,4.91,UA,1724983847
73,alice springs,-23.7,133.8833,32.75,15,1,6.17,AU,1724983848
74,uturoa,-16.7333,-151.4333,26.5,78,26,4.2,PF,1724983849
75,kodiak,57.79,-152.4072,12.73,76,20,3.6,US,1724983850
76,foggia,41.45,15.5333,24.79,60,0,2.98,IT,1724983575
77,albany,42.6001,-73.9662,19.23,87,24,1.39,US,1724983584
78,tutoia,-2.7619,-42.2744,25.76,82,27,4.78,BR,1724983854
79,isafjordur,66.0755,-23.124,7.67,84,100,9.22,IS,1724983855
80,east london,-33.0153,27.9116,10.76,69,2,3.23,ZA,1724983856
81,kapuskasing,49.4169,-82.4331,11.93,71,57,3.02,CA,1724983613
82,qaqortoq,60.7167,-46.0333,4.58,98,92,1.47,GL,1724983616
83,papatowai,-46.5619,169.4708,11.35,66,6,6.44,NZ,1724983859
84,port blair,11.6667,92.75,27.07,79,100,10.79,IN,1724983861
85,sinop,41.7711,34.8709,17.64,82,98,1.31,TR,1724983862
86,petropavlovsk-kamchatsky,53.0452,158.6483,21.33,46,0,4.0,RU,1724983807
87,la foa,-21.7108,165.8276,25.62,44,0,1.5,NC,1724983864
88,kruisfontein,-34.0033,24.7314,5.94,85,0,2.57,ZA,1724983865
